Time,U_y,U_b
-7.350000e-04,2.180000e+00,4.908000e-01
-7.300000e-04,2.189867e+00,4.896000e-01
-7.250000e-04,2.173600e+00,4.965333e-01
-7.200000e-04,2.172400e+00,5.045334e-01
-7.150000e-04,2.178267e+00,4.913333e-01
-7.100000e-04,2.174667e+00,4.896000e-01
-7.050000e-04,2.186400e+00,4.850667e-01
-7.000000e-04,2.179333e+00,4.816000e-01
-6.950000e-04,2.173600e+00,4.920000e-01
-6.900000e-04,2.181733e+00,4.965333e-01
-6.850000e-04,2.188133e+00,4.948000e-01
-6.800000e-04,2.174667e+00,4.930667e-01
-6.750000e-04,2.174133e+00,4.873333e-01
-6.700000e-04,2.172400e+00,4.862667e-01
-6.650000e-04,2.188133e+00,4.930667e-01
-6.600000e-04,2.172400e+00,4.930667e-01
-6.550000e-04,2.187467e+00,4.896000e-01
-6.500000e-04,2.181733e+00,4.885333e-01
-6.450000e-04,2.185733e+00,4.920000e-01
-6.400000e-04,2.181733e+00,4.976000e-01
-6.350000e-04,2.177600e+00,4.953333e-01
-6.300000e-04,2.185200e+00,4.920000e-01
-6.250000e-04,2.172400e+00,4.930667e-01
-6.200000e-04,2.174667e+00,4.908000e-01
-6.150000e-04,2.173600e+00,4.885333e-01
-6.100000e-04,2.174667e+00,4.816000e-01
-6.050000e-04,2.180533e+00,4.936000e-01
-6.000000e-04,2.174667e+00,4.862667e-01
-5.950000e-04,2.177600e+00,4.913333e-01
-5.900000e-04,2.171200e+00,4.920000e-01
-5.850000e-04,2.178800e+00,4.936000e-01
-5.800000e-04,2.188667e+00,4.816000e-01
-5.750000e-04,2.177600e+00,4.822667e-01
-5.700000e-04,2.171200e+00,4.953333e-01
-5.650000e-04,2.175333e+00,4.913333e-01
-5.600000e-04,2.177067e+00,4.793333e-01
-5.550000e-04,2.185733e+00,4.942667e-01
-5.500000e-04,2.181733e+00,4.953333e-01
-5.450000e-04,2.184533e+00,4.948000e-01
-5.400000e-04,2.184000e+00,5.000000e-01
-5.350000e-04,2.167733e+00,4.840000e-01
-5.300000e-04,2.178267e+00,4.873333e-01
-5.250000e-04,2.171200e+00,4.873333e-01
-5.200000e-04,2.177067e+00,5.000000e-01
-5.150000e-04,2.184000e+00,4.862667e-01
-5.100000e-04,2.184000e+00,4.896000e-01
-5.050000e-04,2.181067e+00,4.930667e-01
-5.000000e-04,2.177067e+00,4.862667e-01
-4.950000e-04,-2.599200e+00,1.190667e-01
-4.900000e-04,-2.479733e+00,-1.394667e-01
-4.850000e-04,-2.401333e+00,-2.989333e-01
-4.800000e-04,-2.357867e+00,-3.784000e-01
-4.750000e-04,-2.321333e+00,-4.425333e-01
-4.700000e-04,-2.309067e+00,-4.722667e-01
-4.650000e-04,-2.301600e+00,-4.900000e-01
-4.600000e-04,-2.292933e+00,-5.134667e-01
-4.550000e-04,-2.280667e+00,-5.094666e-01
-4.500000e-04,-2.282400e+00,-5.168000e-01
-4.450000e-04,-2.283600e+00,-5.174667e-01
-4.400000e-04,-2.276667e+00,-5.180000e-01
-4.350000e-04,-2.281333e+00,-5.248000e-01
-4.300000e-04,-2.273200e+00,-5.214667e-01
