erro, temperatura atual, integral
2.43, 298.72, 130.41
2.43, 298.72, 130.65
2.52, 298.63, 130.9
2.43, 298.72, 131.15
2.52, 298.63, 131.4
2.43, 298.72, 131.65
2.43, 298.72, 131.9
2.43, 298.72, 132.15
2.43, 298.72, 132.39
2.43, 298.72, 132.64
2.43, 298.72, 132.89
2.43, 298.72, 133.13
2.43, 298.72, 133.38
2.43, 298.72, 133.62
2.43, 298.72, 133.87
2.43, 298.72, 134.12
2.43, 298.72, 134.36
2.43, 298.72, 134.61
2.43, 298.72, 134.86
2.43, 298.72, 135.1
2.43, 298.72, 135.35
2.43, 298.72, 135.59
2.43, 298.72, 135.84
2.43, 298.72, 136.09
2.43, 298.72, 136.34
2.43, 298.72, 136.58
2.43, 298.72, 136.83
2.43, 298.72, 137.07
2.43, 298.72, 137.32
2.43, 298.72, 137.57
2.43, 298.72, 137.81
2.43, 298.72, 138.06
2.43, 298.72, 138.3
2.43, 298.72, 138.55
2.43, 298.72, 138.8
2.43, 298.72, 139.04
2.43, 298.72, 139.29
2.43, 298.72, 139.54
2.43, 298.72, 139.78
2.43, 298.72, 140.03
2.34, 298.81, 140.27
2.43, 298.72, 140.52
2.43, 298.72, 140.76
2.43, 298.72, 141.01
2.43, 298.72, 141.25
2.43, 298.72, 141.5
2.43, 298.72, 141.75
2.34, 298.81, 141.99
2.34, 298.81, 142.22
2.43, 298.72, 142.47
2.34, 298.81, 142.71
2.34, 298.81, 142.94
2.43, 298.72, 143.19
2.43, 298.72, 143.43
2.43, 298.72, 143.68
2.43, 298.72, 143.93
2.34, 298.81, 144.17
2.34, 298.81, 144.41
2.34, 298.81, 144.64
2.34, 298.81, 144.88
2.34, 298.81, 145.12
2.34, 298.81, 145.36
2.34, 298.81, 145.59
2.34, 298.81, 145.83
2.43, 298.72, 146.07
2.34, 298.81, 146.31
2.34, 298.81, 146.55
2.34, 298.81, 146.79
2.34, 298.81, 147.03
2.34, 298.81, 147.26
2.34, 298.81, 147.5
2.34, 298.81, 147.74
2.34, 298.81, 147.98
2.34, 298.81, 148.21
2.34, 298.81, 148.45
2.34, 298.81, 148.69
2.34, 298.81, 148.92
2.34, 298.81, 149.16
2.34, 298.81, 149.4
2.34, 298.81, 149.64
2.25, 298.9, 149.87
2.34, 298.81, 150.11
2.34, 298.81, 150.34
2.34, 298.81, 150.58
2.34, 298.81, 150.82
2.34, 298.81, 151.05
2.34, 298.81, 151.29
2.34, 298.81, 151.53
2.25, 298.9, 151.76
2.25, 298.9, 151.99
2.34, 298.81, 152.22
2.34, 298.81, 152.46
2.34, 298.81, 152.7
2.34, 298.81, 152.94
2.34, 298.81, 153.17
2.34, 298.81, 153.41
2.34, 298.81, 153.65
2.34, 298.81, 153.89
2.25, 298.9, 154.12
2.25, 298.9, 154.35
2.34, 298.81, 154.58
2.34, 298.81, 154.82
2.34, 298.81, 155.06
2.25, 298.9, 155.29
2.34, 298.81, 155.52
2.34, 298.81, 155.76
2.34, 298.81, 156.0
2.25, 298.9, 156.23
2.34, 298.81, 156.46
2.25, 298.9, 156.7
2.25, 298.9, 156.92
2.25, 298.9, 157.15
2.25, 298.9, 157.38
2.34, 298.81, 157.61
2.34, 298.81, 157.85
2.34, 298.81, 158.09
2.34, 298.81, 158.32
2.34, 298.81, 158.56
2.25, 298.9, 158.8
2.25, 298.9, 159.02
2.25, 298.9, 159.25
2.25, 298.9, 159.48
2.25, 298.9, 159.71
2.25, 298.9, 159.94
2.25, 298.9, 160.17
2.25, 298.9, 160.4
2.25, 298.9, 160.62
2.25, 298.9, 160.85
2.25, 298.9, 161.08
2.25, 298.9, 161.31
2.25, 298.9, 161.54
2.25, 298.9, 161.77
2.25, 298.9, 161.99
2.25, 298.9, 162.22
2.25, 298.9, 162.45
2.25, 298.9, 162.68
2.25, 298.9, 162.91
2.25, 298.9, 163.14
2.25, 298.9, 163.37
2.25, 298.9, 163.59
2.25, 298.9, 163.82
2.25, 298.9, 164.05
2.25, 298.9, 164.28
2.25, 298.9, 164.51
2.25, 298.9, 164.74
2.25, 298.9, 164.96
2.25, 298.9, 165.19
2.25, 298.9, 165.42
2.25, 298.9, 165.65
2.16, 298.99, 165.87
2.16, 298.99, 166.09
2.16, 298.99, 166.31
2.16, 298.99, 166.53
2.25, 298.9, 166.76
2.25, 298.9, 166.98
2.25, 298.9, 167.21
2.16, 298.99, 167.44
2.25, 298.9, 167.66
2.16, 298.99, 167.88
2.16, 298.99, 168.11
2.16, 298.99, 168.32
2.16, 298.99, 168.54
2.16, 298.99, 168.76
2.16, 298.99, 168.98
2.25, 298.9, 169.21
2.16, 298.99, 169.43
2.16, 298.99, 169.65
2.16, 298.99, 169.87
2.16, 298.99, 170.09
2.16, 298.99, 170.31
2.16, 298.99, 170.53
2.16, 298.99, 170.75
2.16, 298.99, 170.97
2.16, 298.99, 171.19
2.16, 298.99, 171.41
2.16, 298.99, 171.63
2.16, 298.99, 171.84
2.16, 298.99, 172.06
2.16, 298.99, 172.28
2.16, 298.99, 172.5
2.16, 298.99, 172.72
2.16, 298.99, 172.94
2.16, 298.99, 173.16
2.16, 298.99, 173.38
2.16, 298.99, 173.6
2.16, 298.99, 173.82
2.16, 298.99, 174.04
2.16, 298.99, 174.26
2.16, 298.99, 174.48
2.16, 298.99, 174.7
2.07, 299.08, 174.91
2.07, 299.08, 175.12
2.16, 298.99, 175.34
2.16, 298.99, 175.56
2.16, 298.99, 175.78
2.16, 298.99, 176.0
2.16, 298.99, 176.21
2.16, 298.99, 176.43
2.07, 299.08, 176.65
2.07, 299.08, 176.86
